lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
34046,28,1,237,1,2025-04-29 23:04:19.353000
34046,28,2,89,1,2025-04-29 23:04:19.357000
34046,28,3,192,1,2025-04-29 23:04:19.357000
34046,29,1,237,1,2025-04-29 23:04:19.353000
34046,29,2,89,1,2025-04-29 23:04:19.357000
34046,29,3,192,1,2025-04-29 23:04:19.357000
34049,35,1,0,1,2025-04-29 23:04:19.360000
34049,36,1,0,1,2025-04-29 23:04:19.360000
34051,42,1,0,1,2025-04-29 23:04:17.180000
34051,43,1,0,1,2025-04-29 23:04:17.180000
34056,26,1,202,1,2025-04-29 23:04:19.360000
34056,27,1,202,1,2025-04-29 23:04:19.360000
34061,24,1,56,1,2025-04-29 23:04:19.360000
34061,24,2,261,1,2025-04-29 23:04:19.363000
34061,24,3,69,1,2025-04-29 23:04:19.363000
34061,24,4,176,1,2025-04-29 23:04:19.367000
34061,25,1,56,1,2025-04-29 23:04:19.360000
34061,25,2,261,1,2025-04-29 23:04:19.363000
34061,25,3,69,1,2025-04-29 23:04:19.363000
34061,25,4,176,1,2025-04-29 23:04:19.367000
34061,26,1,56,1,2025-04-29 23:04:19.360000
34061,26,2,261,1,2025-04-29 23:04:19.363000
34061,26,3,69,1,2025-04-29 23:04:19.363000
34061,26,4,176,1,2025-04-29 23:04:19.367000
34062,41,1,201,1,2025-04-29 23:04:19.370000
34062,42,1,201,1,2025-04-29 23:04:19.370000
34063,17,1,0,1,2025-04-29 23:04:19.370000
34063,18,1,0,1,2025-04-29 23:04:19.370000
34063,19,1,0,1,2025-04-29 23:04:19.370000
34064,22,1,0,1,2025-04-29 23:04:19.370000
34064,23,1,0,1,2025-04-29 23:04:19.370000
34064,24,1,0,1,2025-04-29 23:04:19.370000
34074,33,1,158,1,2025-04-29 23:04:17.183000
34074,38,1,158,1,2025-04-29 23:04:17.183000
34074,39,1,158,1,2025-04-29 23:04:17.183000
34076,23,1,15,1,2025-04-29 23:04:17.187000
34076,24,1,15,1,2025-04-29 23:04:17.187000
34081,25,1,0,1,2025-04-29 23:04:19.373000
34081,26,1,0,1,2025-04-29 23:04:19.373000
34082,26,1,0,1,2025-04-29 23:04:19.373000
34082,27,1,0,1,2025-04-29 23:04:19.373000
34082,30,1,0,1,2025-04-29 23:04:19.373000
34084,22,1,0,1,2025-04-29 23:04:19.377000
34084,23,1,0,1,2025-04-29 23:04:19.377000
34085,17,1,0,1,2025-04-29 23:04:19.377000
34085,18,1,0,1,2025-04-29 23:04:19.377000
34087,19,1,0,1,2025-04-29 23:04:19.380000
34087,20,1,0,1,2025-04-29 23:04:19.380000
34090,21,1,0,1,2025-04-29 23:04:19.380000
34090,22,1,0,1,2025-04-29 23:04:19.380000
34106,46,1,0,1,2025-04-29 23:04:17.187000
34106,47,1,0,1,2025-04-29 23:04:17.187000
34149,51,1,17,1,2025-04-29 23:04:17.190000
34149,51,2,320,1,2025-04-29 23:04:17.190000
34149,52,1,17,1,2025-04-29 23:04:17.190000
34149,52,2,320,1,2025-04-29 23:04:17.190000
34163,29,1,0,1,2025-04-29 23:04:17.190000
34163,33,1,0,1,2025-04-29 23:04:17.193000
34171,17,1,0,1,2025-04-29 23:04:19.380000
34171,18,1,0,1,2025-04-29 23:04:19.380000
34175,31,1,0,1,2025-04-29 23:04:19.383000
34175,32,1,0,1,2025-04-29 23:04:19.383000
34181,26,1,60,1,2025-04-29 23:04:19.383000
34181,26,2,263,1,2025-04-29 23:04:19.387000
34181,28,1,60,1,2025-04-29 23:04:19.383000
34181,28,2,263,1,2025-04-29 23:04:19.387000
34183,19,1,20,1,2025-04-29 23:04:19.400000
34183,19,2,117,1,2025-04-29 23:04:19.400000
34183,19,3,16,1,2025-04-29 23:04:19.403000
34183,19,4,26,1,2025-04-29 23:04:19.403000
